train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,0.00019641962717287242,849,5.612663609999999,-0.001110948040150106,23599,19.21,138,0.8474338948726654,1.022303649733658e-06,118000,23600,,
0.0003,0.00011640739103313535,849,5.609139019999998,-0.0011260434985160828,23699,19.04,139,0.8753906041383743,-2.920526185334893e-07,118500,23700,,
0.0003,0.0003013289824593812,849,5.596174029999999,-0.0011514065554365516,23799,18.66,140,0.9961951796431094,-1.321913487117854e-06,119000,23800,,
0.0003,1.8287017155671492e-05,849,5.604594670000001,-0.0011373221641406417,23899,18.91,140,0.9583847336471081,-1.9228547643024285e-08,119500,23900,,
0.0003,0.0007269516936503351,,,-0.0011185730108991265,23999,,,0.720257967710495,-1.7565104144523502e-06,120000,,5.646863,20.6
,,849,5.61049087,,,19.15,141,,,120000,24000,,
0.0003,0.00025611399905756116,849,5.61816976,-0.001103282906115055,24099,19.39,141,0.5984766185283661,-1.031755573421833e-06,120500,24100,,
0.0003,0.0005168154602870345,850,5.6251735300000005,-0.001190553535707295,24199,19.62,142,0.9269949868321419,-2.2307795006781816e-06,121000,24200,,
0.0003,0.00019516218162607402,850,5.610610490000002,-0.0011128425830975175,24299,19.15,142,0.9694875087589025,1.237269088960602e-06,121500,24300,,
0.0003,0.00011638753494480625,850,5.616642379999998,-0.0011674129636958241,24399,19.32,143,0.7078905999660492,-5.173895942789386e-07,122000,24400,,
0.0003,0.00019664251885842532,850,5.611050130000001,-0.0011124698212370276,24499,19.09,144,0.6572741866111755,9.506349556431815e-07,122500,24500,,
0.0003,0.0007110321312211454,850,5.612605470000001,-0.0012056243140250444,24599,19.02,144,0.9849124262109399,2.3341222004091833e-06,123000,24600,,
0.0003,0.00020481881801970303,850,5.621467289999999,-0.0011011726455762982,24699,19.4,145,0.8658758252859116,1.023876734507212e-06,123500,24700,,
0.0003,0.00030486451578326523,849,5.620874099999998,-0.0011244479101151228,24799,19.42,145,0.8239889144897461,-1.1231725238758372e-06,124000,24800,,
0.0003,9.906480408972129e-05,850,5.620216290000001,-0.0011571838986128569,24899,19.4,146,0.9551883675158024,8.697664952705964e-07,124500,24900,,
0.0003,0.000440722971688956,,,-0.0011413965839892626,24999,,,0.7907991260290146,1.84928580893029e-06,125000,,5.6118832,19.0
,,849,5.61429679,,,19.38,147,,,125000,25000,,
0.0003,0.000702982593793422,849,5.610217189999999,-0.0011700086761265993,25099,19.21,147,0.9925896795466542,-2.2114218154456466e-06,125500,25100,,
0.0003,8.027632429730147e-05,850,5.6010113,-0.0011140562128275633,25199,18.77,148,0.8282434642314911,3.788164235629665e-07,126000,25200,,
0.0003,0.00012214448361191899,850,5.601744549999999,-0.0011097680544480681,25299,18.78,148,0.9255945086479187,-7.0526203899135e-07,126500,25300,,
0.0003,0.00046135406591929495,850,5.60140235,-0.001090936129912734,25399,18.72,149,0.833548441529274,-1.5581930483676842e-06,127000,25400,,
0.0003,0.00024225667584687471,850,5.60821545,-0.00113061279989779,25499,18.97,149,0.9399465397000313,2.6082224735546333e-07,127500,25500,,
0.0003,7.726198236923665e-05,850,5.61539104,-0.0011359568452462554,25599,19.37,150,0.9168702363967896,5.676459409187373e-07,128000,25600,,
0.0003,0.0001827490923460573,850,5.61692872,-0.0011301604099571705,25699,19.49,151,0.8733225166797638,-8.04665319265041e-07,128500,25700,,
0.0003,0.0002190094965044409,850,5.621338489999999,-0.0010988705325871706,25799,19.63,151,0.9773432537913322,1.3223376527093933e-06,129000,25800,,
0.0003,0.00012711065937764943,850,5.61989721,-0.0011143237352371216,25899,19.69,152,0.9902388816699386,1.0348269370297203e-06,129500,25900,,
0.0003,0.000312381045660004,,,-0.0010946264956146479,25999,,,0.9591512866318226,-1.5652383353881305e-06,130000,,5.6576306,21.2
,,850,5.617177679999998,,,19.47,152,,,130000,26000,,
0.0003,7.983892282936722e-05,850,5.619811510000001,-0.0011107859900221229,26099,19.53,153,0.9113968759775162,-1.6945399750056822e-07,130500,26100,,
0.0003,0.0002902703417930752,850,5.620405909999999,-0.0010995593620464206,26199,19.47,153,0.9959424138069153,-1.505378804722568e-06,131000,26200,,
0.0003,0.0009866604814305902,850,5.616399640000001,-0.0011030500754714012,26299,19.21,154,-1.8241710662841797,2.32722595683299e-06,131500,26300,,
0.0003,0.0002063964057015255,850,5.61527998,-0.001094620325602591,26399,19.19,155,0.9736956208944321,1.262470277652028e-06,132000,26400,,
0.0003,0.0005901736440137029,851,5.62165209,-0.0008568010525777936,26499,19.29,155,0.9546816125512123,-1.6692008557583904e-06,132500,26500,,
0.0003,0.0005998036940582097,851,5.620445490000001,-0.000887573987711221,26599,19.34,156,0.778878465294838,1.634885165913147e-06,133000,26600,,
0.0003,0.0010424876818433404,851,5.61354306,-0.0010922346264123917,26699,19.15,156,-1.6062116622924805,2.4614721496618586e-06,133500,26700,,
0.0003,0.00033689948031678796,851,5.612920020000002,-0.0011453510960564017,26799,19.19,157,0.8814296498894691,1.619171030142752e-06,134000,26800,,
0.0003,0.00024144386406987906,851,5.608243229999999,-0.0011380560463294387,26899,19.08,157,0.7016642689704895,1.098284201361821e-06,134500,26900,,
0.0003,0.00033028487814590335,,,-0.0012155200820416212,26999,,,0.9861074388027191,-4.785931082551542e-07,135000,,5.5692566,17.4
